# EVEMU 1.3
# Kernel: 5.15.38-1-MANJARO
# DMI: dmi:bvnDellInc.:bvr1.15.0:bd12/09/2021:br1.15:svnDellInc.:pnXPS157590:pvr:rvnDellInc.:rn0VYV0G:rvrA00:cvnDellInc.:ct10:cvr:sku0905:
# Input device name: "SYNA2393:00 06CB:7A13 Touchpad"
# Input device ID: bus 0x18 vendor 0x6cb product 0x7a13 version 0x100
# Size in mm: 102x77
# Supported events:
#   Event type 0 (EV_SYN)
#     Event code 0 (SYN_REPORT)
#     Event code 1 (SYN_CONFIG)
#     Event code 2 (SYN_MT_REPORT)
#     Event code 3 (SYN_DROPPED)
#     Event code 4 ((null))
#     Event code 5 ((null))
#     Event code 6 ((null))
#     Event code 7 ((null))
#     Event code 8 ((null))
#     Event code 9 ((null))
#     Event code 10 ((null))
#     Event code 11 ((null))
#     Event code 12 ((null))
#     Event code 13 ((null))
#     Event code 14 ((null))
#     Event code 15 (SYN_MAX)
#   Event type 1 (EV_KEY)
#     Event code 272 (BTN_LEFT)
#     Event code 325 (BTN_TOOL_FINGER)
#     Event code 328 (BTN_TOOL_QUINTTAP)
#     Event code 330 (BTN_TOUCH)
#     Event code 333 (BTN_TOOL_DOUBLETAP)
#     Event code 334 (BTN_TOOL_TRIPLETAP)
#     Event code 335 (BTN_TOOL_QUADTAP)
#   Event type 3 (EV_ABS)
#     Event code 0 (ABS_X)
#       Value      749
#       Min          0
#       Max       1228
#       Fuzz         0
#       Flat         0
#       Resolution  12
#     Event code 1 (ABS_Y)
#       Value      115
#       Min          0
#       Max        928
#       Fuzz         0
#       Flat         0
#       Resolution  12
#     Event code 47 (ABS_MT_SLOT)
#       Value        0
#       Min          0
#       Max          4
#       Fuzz         0
#       Flat         0
#       Resolution   0
#     Event code 53 (ABS_MT_POSITION_X)
#       Value        0
#       Min          0
#       Max       1228
#       Fuzz         0
#       Flat         0
#       Resolution  12
#     Event code 54 (ABS_MT_POSITION_Y)
#       Value        0
#       Min          0
#       Max        928
#       Fuzz         0
#       Flat         0
#       Resolution  12
#     Event code 55 (ABS_MT_TOOL_TYPE)
#       Value        0
#       Min          0
#       Max          2
#       Fuzz         0
#       Flat         0
#       Resolution   0
#     Event code 57 (ABS_MT_TRACKING_ID)
#       Value        0
#       Min          0
#       Max      65535
#       Fuzz         0
#       Flat         0
#       Resolution   0
#   Event type 4 (EV_MSC)
#     Event code 5 (MSC_TIMESTAMP)
# Properties:
#   Property  type 0 (INPUT_PROP_POINTER)
#   Property  type 2 (INPUT_PROP_BUTTONPAD)
N: SYNA2393:00 06CB:7A13 Touchpad
I: 0018 06cb 7a13 0100
P: 05 00 00 00 00 00 00 00
E: 0.022391 0003 0000 0552	# EV_ABS / ABS_X                552
E: 0.022391 0003 0001 0462	# EV_ABS / ABS_Y                462
E: 0.022391 0004 0005 21900	# EV_MSC / MSC_TIMESTAMP        21900
E: 0.022391 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.029719 0003 0035 0557	# EV_ABS / ABS_MT_POSITION_X    557
E: 0.029719 0003 0036 0457	# EV_ABS / ABS_MT_POSITION_Y    457
E: 0.029719 0003 0000 0557	# EV_ABS / ABS_X                557
E: 0.029719 0003 0001 0457	# EV_ABS / ABS_Y                457
E: 0.029719 0004 0005 29200	# EV_MSC / MSC_TIMESTAMP        29200
E: 0.029719 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.037002 0003 0035 0565	# EV_ABS / ABS_MT_POSITION_X    565
E: 0.037002 0003 0036 0449	# EV_ABS / ABS_MT_POSITION_Y    449
E: 0.037002 0003 0000 0565	# EV_ABS / ABS_X                565
E: 0.037002 0003 0001 0449	# EV_ABS / ABS_Y                449
E: 0.037002 0004 0005 36500	# EV_MSC / MSC_TIMESTAMP        36500
E: 0.037002 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.043901 0003 0035 0577	# EV_ABS / ABS_MT_POSITION_X    577
E: 0.043901 0003 0036 0438	# EV_ABS / ABS_MT_POSITION_Y    438
E: 0.043901 0003 0000 0577	# EV_ABS / ABS_X                577
E: 0.043901 0003 0001 0438	# EV_ABS / ABS_Y                438
E: 0.043901 0004 0005 43800	# EV_MSC / MSC_TIMESTAMP        43800
E: 0.043901 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +6ms
E: 0.051240 0003 0035 0598	# EV_ABS / ABS_MT_POSITION_X    598
E: 0.051240 0003 0036 0423	# EV_ABS / ABS_MT_POSITION_Y    423
E: 0.051240 0003 0000 0598	# EV_ABS / ABS_X                598
E: 0.051240 0003 0001 0423	# EV_ABS / ABS_Y                423
E: 0.051240 0004 0005 51100	# EV_MSC / MSC_TIMESTAMP        51100
E: 0.051240 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.058593 0003 0035 0618	# EV_ABS / ABS_MT_POSITION_X    618
E: 0.058593 0003 0036 0410	# EV_ABS / ABS_MT_POSITION_Y    410
E: 0.058593 0003 0000 0618	# EV_ABS / ABS_X                618
E: 0.058593 0003 0001 0410	# EV_ABS / ABS_Y                410
E: 0.058593 0004 0005 58400	# EV_MSC / MSC_TIMESTAMP        58400
E: 0.058593 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.065824 0003 0035 0645	# EV_ABS / ABS_MT_POSITION_X    645
E: 0.065824 0003 0036 0394	# EV_ABS / ABS_MT_POSITION_Y    394
E: 0.065824 0003 0000 0645	# EV_ABS / ABS_X                645
E: 0.065824 0003 0001 0394	# EV_ABS / ABS_Y                394
E: 0.065824 0004 0005 65700	# EV_MSC / MSC_TIMESTAMP        65700
E: 0.065824 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.073119 0003 0035 0670	# EV_ABS / ABS_MT_POSITION_X    670
E: 0.073119 0003 0036 0381	# EV_ABS / ABS_MT_POSITION_Y    381
E: 0.073119 0003 0000 0670	# EV_ABS / ABS_X                670
E: 0.073119 0003 0001 0381	# EV_ABS / ABS_Y                381
E: 0.073119 0004 0005 73000	# EV_MSC / MSC_TIMESTAMP        73000
E: 0.073119 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.080661 0003 0035 0701	# EV_ABS / ABS_MT_POSITION_X    701
E: 0.080661 0003 0036 0366	# EV_ABS / ABS_MT_POSITION_Y    366
E: 0.080661 0003 0000 0701	# EV_ABS / ABS_X                701
E: 0.080661 0003 0001 0366	# EV_ABS / ABS_Y                366
E: 0.080661 0004 0005 80300	# EV_MSC / MSC_TIMESTAMP        80300
E: 0.080661 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.087961 0003 0035 0733	# EV_ABS / ABS_MT_POSITION_X    733
E: 0.087961 0003 0036 0352	# EV_ABS / ABS_MT_POSITION_Y    352
E: 0.087961 0003 0000 0733	# EV_ABS / ABS_X                733
E: 0.087961 0003 0001 0352	# EV_ABS / ABS_Y                352
E: 0.087961 0004 0005 87600	# EV_MSC / MSC_TIMESTAMP        87600
E: 0.087961 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.095383 0003 0035 0764	# EV_ABS / ABS_MT_POSITION_X    764
E: 0.095383 0003 0036 0339	# EV_ABS / ABS_MT_POSITION_Y    339
E: 0.095383 0003 0000 0764	# EV_ABS / ABS_X                764
E: 0.095383 0003 0001 0339	# EV_ABS / ABS_Y                339
E: 0.095383 0004 0005 94900	# EV_MSC / MSC_TIMESTAMP        94900
E: 0.095383 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.102559 0003 0035 0795	# EV_ABS / ABS_MT_POSITION_X    795
E: 0.102559 0003 0036 0328	# EV_ABS / ABS_MT_POSITION_Y    328
E: 0.102559 0003 0000 0795	# EV_ABS / ABS_X                795
E: 0.102559 0003 0001 0328	# EV_ABS / ABS_Y                328
E: 0.102559 0004 0005 102200	# EV_MSC / MSC_TIMESTAMP        102200
E: 0.102559 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.109703 0003 0035 0826	# EV_ABS / ABS_MT_POSITION_X    826
E: 0.109703 0003 0036 0317	# EV_ABS / ABS_MT_POSITION_Y    317
E: 0.109703 0003 0000 0826	# EV_ABS / ABS_X                826
E: 0.109703 0003 0001 0317	# EV_ABS / ABS_Y                317
E: 0.109703 0004 0005 109500	# EV_MSC / MSC_TIMESTAMP        109500
E: 0.109703 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.116938 0003 0035 0853	# EV_ABS / ABS_MT_POSITION_X    853
E: 0.116938 0003 0036 0308	# EV_ABS / ABS_MT_POSITION_Y    308
E: 0.116938 0003 0000 0853	# EV_ABS / ABS_X                853
E: 0.116938 0003 0001 0308	# EV_ABS / ABS_Y                308
E: 0.116938 0004 0005 116800	# EV_MSC / MSC_TIMESTAMP        116800
E: 0.116938 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.124400 0003 0035 0878	# EV_ABS / ABS_MT_POSITION_X    878
E: 0.124400 0003 0036 0299	# EV_ABS / ABS_MT_POSITION_Y    299
E: 0.124400 0003 0000 0878	# EV_ABS / ABS_X                878
E: 0.124400 0003 0001 0299	# EV_ABS / ABS_Y                299
E: 0.124400 0004 0005 124100	# EV_MSC / MSC_TIMESTAMP        124100
E: 0.124400 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.131549 0003 0035 0900	# EV_ABS / ABS_MT_POSITION_X    900
E: 0.131549 0003 0036 0293	# EV_ABS / ABS_MT_POSITION_Y    293
E: 0.131549 0003 0000 0900	# EV_ABS / ABS_X                900
E: 0.131549 0003 0001 0293	# EV_ABS / ABS_Y                293
E: 0.131549 0004 0005 131400	# EV_MSC / MSC_TIMESTAMP        131400
E: 0.131549 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.138920 0003 0035 0919	# EV_ABS / ABS_MT_POSITION_X    919
E: 0.138920 0003 0036 0289	# EV_ABS / ABS_MT_POSITION_Y    289
E: 0.138920 0003 0000 0919	# EV_ABS / ABS_X                919
E: 0.138920 0003 0001 0289	# EV_ABS / ABS_Y                289
E: 0.138920 0004 0005 138700	# EV_MSC / MSC_TIMESTAMP        138700
E: 0.138920 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.146182 0003 0035 0936	# EV_ABS / ABS_MT_POSITION_X    936
E: 0.146182 0003 0036 0287	# EV_ABS / ABS_MT_POSITION_Y    287
E: 0.146182 0003 0000 0936	# EV_ABS / ABS_X                936
E: 0.146182 0003 0001 0287	# EV_ABS / ABS_Y                287
E: 0.146182 0004 0005 146000	# EV_MSC / MSC_TIMESTAMP        146000
E: 0.146182 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.153756 0003 0035 0942	# EV_ABS / ABS_MT_POSITION_X    942
E: 0.153756 0003 0036 0286	# EV_ABS / ABS_MT_POSITION_Y    286
E: 0.153756 0003 0000 0942	# EV_ABS / ABS_X                942
E: 0.153756 0003 0001 0286	# EV_ABS / ABS_Y                286
E: 0.153756 0004 0005 153300	# EV_MSC / MSC_TIMESTAMP        153300
E: 0.153756 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.160807 0003 0035 0945	# EV_ABS / ABS_MT_POSITION_X    945
E: 0.160807 0003 0000 0945	# EV_ABS / ABS_X                945
E: 0.160807 0004 0005 160600	# EV_MSC / MSC_TIMESTAMP        160600
E: 0.160807 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.168234 0003 0035 0947	# EV_ABS / ABS_MT_POSITION_X    947
E: 0.168234 0003 0000 0947	# EV_ABS / ABS_X                947
E: 0.168234 0004 0005 167900	# EV_MSC / MSC_TIMESTAMP        167900
E: 0.168234 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.174725 0003 0039 -001	# EV_ABS / ABS_MT_TRACKING_ID   -1
E: 0.174725 0001 014a 0000	# EV_KEY / BTN_TOUCH            0
E: 0.174725 0001 0145 0000	# EV_KEY / BTN_TOOL_FINGER      0
E: 0.174725 0004 0005 175200	# EV_MSC / MSC_TIMESTAMP        175200
E: 0.174725 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +6ms
E: 0.329364 0003 0039 8849	# EV_ABS / ABS_MT_TRACKING_ID   8849
E: 0.329364 0003 0035 0712	# EV_ABS / ABS_MT_POSITION_X    712
E: 0.329364 0003 0036 0426	# EV_ABS / ABS_MT_POSITION_Y    426
E: 0.329364 0001 014a 0001	# EV_KEY / BTN_TOUCH            1
E: 0.329364 0001 0145 0001	# EV_KEY / BTN_TOOL_FINGER      1
E: 0.329364 0003 0000 0712	# EV_ABS / ABS_X                712
E: 0.329364 0003 0001 0426	# EV_ABS / ABS_Y                426
E: 0.329364 0004 0005 328500	# EV_MSC / MSC_TIMESTAMP        328500
E: 0.329364 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +155ms
E: 0.336975 0004 0005 335800	# EV_MSC / MSC_TIMESTAMP        335800
E: 0.336975 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.344271 0004 0005 343100	# EV_MSC / MSC_TIMESTAMP        343100
E: 0.344271 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.351214 0003 0035 0714	# EV_ABS / ABS_MT_POSITION_X    714
E: 0.351214 0003 0036 0424	# EV_ABS / ABS_MT_POSITION_Y    424
E: 0.351214 0003 0000 0714	# EV_ABS / ABS_X                714
E: 0.351214 0003 0001 0424	# EV_ABS / ABS_Y                424
E: 0.351214 0004 0005 350400	# EV_MSC / MSC_TIMESTAMP        350400
E: 0.351214 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.358559 0003 0035 0719	# EV_ABS / ABS_MT_POSITION_X    719
E: 0.358559 0003 0036 0421	# EV_ABS / ABS_MT_POSITION_Y    421
E: 0.358559 0003 0000 0719	# EV_ABS / ABS_X                719
E: 0.358559 0003 0001 0421	# EV_ABS / ABS_Y                421
E: 0.358559 0004 0005 357700	# EV_MSC / MSC_TIMESTAMP        357700
E: 0.358559 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.366032 0003 0035 0726	# EV_ABS / ABS_MT_POSITION_X    726
E: 0.366032 0003 0036 0416	# EV_ABS / ABS_MT_POSITION_Y    416
E: 0.366032 0003 0000 0726	# EV_ABS / ABS_X                726
E: 0.366032 0003 0001 0416	# EV_ABS / ABS_Y                416
E: 0.366032 0004 0005 365000	# EV_MSC / MSC_TIMESTAMP        365000
E: 0.366032 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.373576 0003 0035 0733	# EV_ABS / ABS_MT_POSITION_X    733
E: 0.373576 0003 0036 0409	# EV_ABS / ABS_MT_POSITION_Y    409
E: 0.373576 0003 0000 0733	# EV_ABS / ABS_X                733
E: 0.373576 0003 0001 0409	# EV_ABS / ABS_Y                409
E: 0.373576 0004 0005 372300	# EV_MSC / MSC_TIMESTAMP        372300
E: 0.373576 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.380665 0003 0035 0740	# EV_ABS / ABS_MT_POSITION_X    740
E: 0.380665 0003 0036 0402	# EV_ABS / ABS_MT_POSITION_Y    402
E: 0.380665 0003 0000 0740	# EV_ABS / ABS_X                740
E: 0.380665 0003 0001 0402	# EV_ABS / ABS_Y                402
E: 0.380665 0004 0005 379600	# EV_MSC / MSC_TIMESTAMP        379600
E: 0.380665 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.387736 0003 0035 0747	# EV_ABS / ABS_MT_POSITION_X    747
E: 0.387736 0003 0036 0394	# EV_ABS / ABS_MT_POSITION_Y    394
E: 0.387736 0003 0000 0747	# EV_ABS / ABS_X                747
E: 0.387736 0003 0001 0394	# EV_ABS / ABS_Y                394
E: 0.387736 0004 0005 386900	# EV_MSC / MSC_TIMESTAMP        386900
E: 0.387736 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.395163 0003 0035 0753	# EV_ABS / ABS_MT_POSITION_X    753
E: 0.395163 0003 0036 0386	# EV_ABS / ABS_MT_POSITION_Y    386
E: 0.395163 0003 0000 0753	# EV_ABS / ABS_X                753
E: 0.395163 0003 0001 0386	# EV_ABS / ABS_Y                386
E: 0.395163 0004 0005 394200	# EV_MSC / MSC_TIMESTAMP        394200
E: 0.395163 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.402437 0003 0035 0759	# EV_ABS / ABS_MT_POSITION_X    759
E: 0.402437 0003 0036 0376	# EV_ABS / ABS_MT_POSITION_Y    376
E: 0.402437 0003 0000 0759	# EV_ABS / ABS_X                759
E: 0.402437 0003 0001 0376	# EV_ABS / ABS_Y                376
E: 0.402437 0004 0005 401500	# EV_MSC / MSC_TIMESTAMP        401500
E: 0.402437 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.409784 0003 0035 0763	# EV_ABS / ABS_MT_POSITION_X    763
E: 0.409784 0003 0036 0364	# EV_ABS / ABS_MT_POSITION_Y    364
E: 0.409784 0003 0000 0763	# EV_ABS / ABS_X                763
E: 0.409784 0003 0001 0364	# EV_ABS / ABS_Y                364
E: 0.409784 0004 0005 408800	# EV_MSC / MSC_TIMESTAMP        408800
E: 0.409784 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.417138 0003 0035 0767	# EV_ABS / ABS_MT_POSITION_X    767
E: 0.417138 0003 0036 0352	# EV_ABS / ABS_MT_POSITION_Y    352
E: 0.417138 0003 0000 0767	# EV_ABS / ABS_X                767
E: 0.417138 0003 0001 0352	# EV_ABS / ABS_Y                352
E: 0.417138 0004 0005 416100	# EV_MSC / MSC_TIMESTAMP        416100
E: 0.417138 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.424414 0003 0035 0771	# EV_ABS / ABS_MT_POSITION_X    771
E: 0.424414 0003 0036 0341	# EV_ABS / ABS_MT_POSITION_Y    341
E: 0.424414 0003 0000 0771	# EV_ABS / ABS_X                771
E: 0.424414 0003 0001 0341	# EV_ABS / ABS_Y                341
E: 0.424414 0004 0005 423400	# EV_MSC / MSC_TIMESTAMP        423400
E: 0.424414 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.431700 0003 0035 0774	# EV_ABS / ABS_MT_POSITION_X    774
E: 0.431700 0003 0036 0331	# EV_ABS / ABS_MT_POSITION_Y    331
E: 0.431700 0003 0000 0774	# EV_ABS / ABS_X                774
E: 0.431700 0003 0001 0331	# EV_ABS / ABS_Y                331
E: 0.431700 0004 0005 430700	# EV_MSC / MSC_TIMESTAMP        430700
E: 0.431700 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.439032 0003 0035 0776	# EV_ABS / ABS_MT_POSITION_X    776
E: 0.439032 0003 0036 0323	# EV_ABS / ABS_MT_POSITION_Y    323
E: 0.439032 0003 0000 0776	# EV_ABS / ABS_X                776
E: 0.439032 0003 0001 0323	# EV_ABS / ABS_Y                323
E: 0.439032 0004 0005 438000	# EV_MSC / MSC_TIMESTAMP        438000
E: 0.439032 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.446288 0003 0035 0778	# EV_ABS / ABS_MT_POSITION_X    778
E: 0.446288 0003 0036 0317	# EV_ABS / ABS_MT_POSITION_Y    317
E: 0.446288 0003 0000 0778	# EV_ABS / ABS_X                778
E: 0.446288 0003 0001 0317	# EV_ABS / ABS_Y                317
E: 0.446288 0004 0005 445300	# EV_MSC / MSC_TIMESTAMP        445300
E: 0.446288 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.453674 0003 0035 0779	# EV_ABS / ABS_MT_POSITION_X    779
E: 0.453674 0003 0036 0312	# EV_ABS / ABS_MT_POSITION_Y    312
E: 0.453674 0003 0000 0779	# EV_ABS / ABS_X                779
E: 0.453674 0003 0001 0312	# EV_ABS / ABS_Y                312
E: 0.453674 0004 0005 452600	# EV_MSC / MSC_TIMESTAMP        452600
E: 0.453674 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.461024 0003 0035 0780	# EV_ABS / ABS_MT_POSITION_X    780
E: 0.461024 0003 0036 0309	# EV_ABS / ABS_MT_POSITION_Y    309
E: 0.461024 0003 0000 0780	# EV_ABS / ABS_X                780
E: 0.461024 0003 0001 0309	# EV_ABS / ABS_Y                309
E: 0.461024 0004 0005 459900	# EV_MSC / MSC_TIMESTAMP        459900
E: 0.461024 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.468295 0003 0036 0308	# EV_ABS / ABS_MT_POSITION_Y    308
E: 0.468295 0003 0001 0308	# EV_ABS / ABS_Y                308
E: 0.468295 0004 0005 467200	# EV_MSC / MSC_TIMESTAMP        467200
E: 0.468295 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.475667 0003 0036 0307	# EV_ABS / ABS_MT_POSITION_Y    307
E: 0.475667 0003 0001 0307	# EV_ABS / ABS_Y                307
E: 0.475667 0004 0005 474500	# EV_MSC / MSC_TIMESTAMP        474500
E: 0.475667 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.483038 0003 0036 0306	# EV_ABS / ABS_MT_POSITION_Y    306
E: 0.483038 0003 0001 0306	# EV_ABS / ABS_Y                306
E: 0.483038 0004 0005 481800	# EV_MSC / MSC_TIMESTAMP        481800
E: 0.483038 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.490249 0003 0036 0305	# EV_ABS / ABS_MT_POSITION_Y    305
E: 0.490249 0003 0001 0305	# EV_ABS / ABS_Y                305
E: 0.490249 0004 0005 489100	# EV_MSC / MSC_TIMESTAMP        489100
E: 0.490249 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.497619 0004 0005 496400	# EV_MSC / MSC_TIMESTAMP        496400
E: 0.497619 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +7ms
E: 0.505222 0004 0005 503700	# EV_MSC / MSC_TIMESTAMP        503700
E: 0.505222 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +8ms
E: 0.512413 0004 0005 511000	# EV_MSC / MSC_TIMESTAMP        511000
